id,narr-archetype,narr-optimism,narr-age,narr-family type,narr-duration,narr-spending,narr-env,narr-income,narr-mortgage percent,narr-credit,prm-house sqft,prm-lot sqft,prm-house age,prm-step,prm-suite,prm-reno_plan,prm-wall_type,prm-wall_age,prm-window_type,prm-window_age,prm-roof_type,prm-roof_age,prm-heat_eff,prm-heat_fuel,prm-heat_age,prm-dhw_eff,prm-dwh_fuel,prm-dhw_age,prm-cool_fuel,prm-leakage,prm-maintenance,prm-asbestos,resp-likert_step2,resp-likert_step3,resp-likert_step4,resp-likert_step5,resp-likert_higheff,resp-retrofit_teardown_neither,resp-likert_carbon2050,resp-policy1,resp-policy2,resp-policy3,resp-confidence,expqual-field,expqual-field_years,expqual-step_familiar,expqual-market_familiar,sort,resp-binary_step2,resp-binary_step3,resp-binary_step4,resp-binary_step5,resp-binary_higheff,resp-binary_carbon2050,resp-policy1_updated,resp-policy2_updated,resp-policy3_updated
gwh5,5,4,3,1,1,3,3,3,4,1,4,1,1,0,0,1,1,5,2,5,1,5,nan,3,5,1,1,5,1,1,3,0,3,2,1,1,6,3,7,1,2,3,4,4,3,7,6,57,0,0,0,0,1,1,1,2,3
vs4,4,5,3,3,1,2,3,3,4,1,2,2,3,1,0,1,1,4,2,4,1,3,2,1,2,2,1,2,1,2,3,0,5,4,4,3,4,2,5,1,7,8,3,1,6,7,6,58,1,9,9,0,9,1,1,7,8
mp1,1,3,2,2,1,1,2,2,5,1,1,2,2,1,0,1,1,3,1,3,1,4,1,1,4,1,1,4,1,2,2,0,4,3,2,1,3,3,5,1,7,8,3,10,3,7,6,59,9,0,0,0,0,1,1,7,8
gwh5,5,6,3,2,1,3,3,2,1,2,4,1,1,0,0,1,1,5,2,5,1,5,nan,3,5,1,1,5,1,1,4,0,5,4,3,3,4,1,5,1,7,8,3,7,2,7,6,60,1,9,0,0,9,1,1,7,8
vs4,4,5,3,3,1,2,3,3,4,1,2,2,3,1,0,1,1,4,2,4,1,3,2,1,2,2,1,2,1,2,3,0,4,1,1,1,4,2,4,1,8,9,3,1,6,7,6,61,9,0,0,0,9,9,1,8,8
mp1,1,1,4,1,4,1,3,2,1,1,1,2,2,1,0,0,1,3,1,5,1,5,1,1,5,1,1,5,1,2,3,0,2,1,1,1,1,2,4,4,7,8,3,10,6,6,5,62,0,0,0,0,0,9,4,7,8
gwh5,5,6,3,2,1,3,3,2,1,2,4,1,1,0,0,1,1,5,2,5,1,5,nan,3,5,1,1,5,1,1,4,0,5,4,2,1,5,3,6,4,7,8,3,7,2,7,6,63,1,9,0,0,1,1,4,7,8
vs4,4,6,4,1,2,2,3,3,4,3,2,2,3,1,0,1,1,4,2,4,1,3,2,1,4,2,1,4,1,2,4,0,5,4,3,2,5,2,4,2,7,8,3,5,6,7,6,64,1,9,0,0,1,9,2,7,8
mp1,1,4,2,1,1,2,1,3,5,1,1,2,2,1,0,1,1,3,1,3,1,4,1,1,4,1,1,4,1,2,3,1,3,2,1,1,2,3,4,2,6,8,3,5,3,5,5,65,0,0,0,0,0,9,2,6,8
sb2,2,1,3,2,2,3,2,3,4,nan,5,3,4,1,0,1,1,5,2,5,1,5,1,1,5,3,2,1,1,3,4,0,6,5,4,4,5,2,5,5,7,8,3,7,6,6,6,66,1,1,9,9,1,1,5,7,8
